model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,70,3000,0.0011005401611328125,0.48433333333333334,0.48404232602749964,0.49658314350797267,"[[690, 764], [783, 763]]",0.002566099166870117,0.48404232602749964
logreg,0.01,0,70,3000,0.017742156982421875,0.5103333333333333,0.5088389792355833,0.5399310992796743,"[[669, 785], [684, 862]]",0.0023343563079833984,0.5134094997784583
dummy,0.01,1,70,3000,0.0005943775177001953,0.4856666666666667,0.4853769144671166,0.4978848031239831,"[[692, 762], [781, 765]]",0.001379251480102539,0.4853769144671166
logreg,0.01,1,70,3000,0.015289068222045898,0.511,0.5090560722884276,0.5468025949953661,"[[648, 806], [661, 885]]",0.0019943714141845703,0.510605529466823
dummy,0.01,2,70,3000,0.0005660057067871094,0.5076666666666667,0.507397623720797,0.5193621867881549,"[[725, 729], [748, 798]]",0.0018019676208496094,0.507397623720797
logreg,0.01,2,70,3000,0.014420509338378906,0.5053333333333333,0.5046221246292069,0.5237483953786907,"[[700, 754], [730, 816]]",0.0019834041595458984,0.5061738061216683
dummy,0.01,3,70,3000,0.0006322860717773438,0.48233333333333334,0.48204044336807417,0.49463065408395707,"[[687, 767], [786, 760]]",0.001954317092895508,0.48204044336807417
logreg,0.01,3,70,3000,0.01734471321105957,0.49133333333333334,0.4906908007708583,0.509009009009009,"[[683, 771], [755, 791]]",0.0022084712982177734,0.49031934032183155
dummy,0.01,4,70,3000,0.0006670951843261719,0.5063333333333333,0.50606303528118,0.5180605271721445,"[[723, 731], [750, 796]]",0.002203226089477539,0.5060630352811799
logreg,0.01,4,70,3000,0.020271778106689453,0.49933333333333335,0.4964268618843321,0.548948948948949,"[[584, 870], [632, 914]]",0.002288818359375,0.5034018659325837
dummy,0.05,0,350,3000,0.0006654262542724609,0.48433333333333334,0.48404232602749964,0.49658314350797267,"[[690, 764], [783, 763]]",0.0017669200897216797,0.48404232602749964
logreg,0.05,0,350,3000,0.009756326675415039,0.5033333333333333,0.5031318342049679,0.5140247879973907,"[[722, 732], [758, 788]]",0.0023581981658935547,0.5041608018919126
dummy,0.05,1,350,3000,0.0006527900695800781,0.4856666666666667,0.4853769144671166,0.4978848031239831,"[[692, 762], [781, 765]]",0.002110719680786133,0.4853769144671166
logreg,0.05,1,350,3000,0.0077359676361083984,0.49633333333333335,0.4956648118853108,0.5143040822886532,"[[689, 765], [746, 800]]",0.0026340484619140625,0.4873761279496629
dummy,0.05,2,350,3000,0.0005028247833251953,0.5076666666666667,0.507397623720797,0.5193621867881549,"[[725, 729], [748, 798]]",0.0013418197631835938,0.507397623720797
