model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7000,300000,0.0015919208526611328,0.50013,0.5001299196259203,0.5003315329483775,"[[74959, 74974], [74987, 75080]]",0.04570460319519043,0.5001299196259203
logreg,0.01,0,7000,300000,0.034392356872558594,0.9912266666666667,0.9912270490496988,0.9912230388560606,"[[148746, 1187], [1445, 148622]]",0.11882424354553223,0.9997637243084158
dummy,0.01,1,7000,300000,0.0013544559478759766,0.49871,0.49870991934261455,0.4989121054508015,"[[74746, 75187], [75200, 74867]]",0.03637337684631348,0.49870991934261455
logreg,0.01,1,7000,300000,0.02654552459716797,0.99266,0.9926603409801009,0.9926576504481434,"[[148947, 986], [1216, 148851]]",0.12945556640625,0.9998341211669053
dummy,0.01,2,7000,300000,0.0011587142944335938,0.4997433333333333,0.4997432528821094,0.4999450221743897,"[[74901, 75032], [75045, 75022]]",0.04027724266052246,0.49974325288210947
logreg,0.01,2,7000,300000,0.03129005432128906,0.99274,0.9927397365070523,0.9927474942559356,"[[148756, 1177], [1001, 149066]]",0.13660573959350586,0.9998293313881721
dummy,0.01,3,7000,300000,0.001192331314086914,0.5001166666666667,0.500116586289927,0.5003182049906537,"[[74957, 74976], [74989, 75078]]",0.03694415092468262,0.500116586289927
logreg,0.01,3,7000,300000,0.02436089515686035,0.9916533333333334,0.9916534150458747,0.9916555029025786,"[[148709, 1224], [1280, 148787]]",0.10828495025634766,0.9997811026229942
dummy,0.01,4,7000,300000,0.0008950233459472656,0.49921666666666664,0.4992165861103669,0.4994185678443028,"[[74822, 75111], [75124, 74943]]",0.03281044960021973,0.4992165861103669
logreg,0.01,4,7000,300000,0.02671670913696289,0.9931066666666667,0.9931064330246568,0.9931133237870059,"[[148821, 1112], [956, 149111]]",0.11363959312438965,0.9998459500581542
dummy,0.05,0,35000,300000,0.0034377574920654297,0.5001133333333333,0.5001132812448231,0.5002832370327422,"[[74966, 74967], [74999, 75068]]",0.03963494300842285,0.5001132812448231
logreg,0.05,0,35000,300000,0.1536715030670166,0.9963766666666667,0.9963767061437793,0.9963779585281249,"[[149403, 530], [557, 149510]]",0.12015438079833984,0.999958661725086
dummy,0.05,1,35000,300000,0.0029022693634033203,0.49872666666666665,0.49872661430150095,0.49889704167249804,"[[74758, 75175], [75207, 74860]]",0.03976035118103027,0.498726614301501
logreg,0.05,1,35000,300000,0.13559293746948242,0.9963066666666667,0.99630662126313,0.9963086845857598,"[[149364, 569], [539, 149528]]",0.1352837085723877,0.9999583339916872
dummy,0.05,2,35000,300000,0.0029840469360351562,0.4997533333333333,0.4997532811729991,0.49992335939114035,"[[74912, 75021], [75053, 75014]]",0.03675985336303711,0.49975328117299905
logreg,0.05,2,35000,300000,0.14511609077453613,0.9968966666666667,0.9968964203808014,0.996899756575946,"[[149385, 548], [383, 149684]]",0.15142297744750977,0.9999695194161411
dummy,0.05,3,35000,300000,0.0022873878479003906,0.5000933333333333,0.5000932812408329,0.500263243830431,"[[74963, 74970], [75002, 75065]]",0.04486393928527832,0.500093281240833
logreg,0.05,3,35000,300000,0.13452577590942383,0.9965933333333333,0.9965930944313957,0.9965966685981071,"[[149342, 591], [431, 149636]]",0.1339573860168457,0.9999649562596752
dummy,0.05,4,35000,300000,0.0032303333282470703,0.4991933333333333,0.4991932810612728,0.4993635497264263,"[[74828, 75105], [75137, 74930]]",0.037445068359375,0.49919328106127286
logreg,0.05,4,35000,300000,0.14350032806396484,0.9963966666666667,0.9963964828143916,0.9963997508800794,"[[149331, 602], [479, 149588]]",0.13161420822143555,0.9999591015029515
dummy,0.1,0,70000,300000,0.005902767181396484,0.50012,0.5001199538683765,0.5002832408080027,"[[74969, 74964], [75000, 75067]]",0.03940916061401367,0.5001199538683766
logreg,0.1,0,70000,300000,0.3075568675994873,0.99686,0.9968601125291131,0.9968606069493231,"[[149500, 433], [509, 149558]]",0.13915657997131348,0.9999703351940815
dummy,0.1,1,70000,300000,0.0053288936614990234,0.4987333333333333,0.4987332869250545,0.49889702697118943,"[[74761, 75172], [75208, 74859]]",0.03682565689086914,0.4987332869250545
logreg,0.1,1,70000,300000,0.36919426918029785,0.9972033333333333,0.9972034355087209,0.9972039391465183,"[[149548, 385], [454, 149613]]",0.141801118850708,0.9999748247060886
dummy,0.1,2,70000,300000,0.005482196807861328,0.49976,0.4997599537965526,0.4999233583695993,"[[74915, 75018], [75054, 75013]]",0.03475594520568848,0.4997599537965526
logreg,0.1,2,70000,300000,0.3158137798309326,0.9972266666666667,0.9972264606466481,0.9972291788778175,"[[149448, 485], [347, 149720]]",0.14107418060302734,0.9999771331509933
dummy,0.1,3,70000,300000,0.0052907466888427734,0.5000866666666667,0.5000866205283928,0.5002499183600024,"[[74964, 74969], [75005, 75062]]",0.04592466354370117,0.5000866205283929
logreg,0.1,3,70000,300000,0.2788219451904297,0.9971733333333334,0.9971732166360253,0.9971753294338668,"[[149470, 463], [385, 149682]]",0.19424819946289062,0.9999742471948622
dummy,0.1,4,70000,300000,0.004591226577758789,0.4991933333333333,0.4991932810612728,0.4993635497264263,"[[74828, 75105], [75137, 74930]]",0.03817915916442871,0.49919328106127286
logreg,0.1,4,70000,300000,0.2983384132385254,0.9969833333333333,0.9969834175981582,0.9969841074124308,"[[149509, 424], [481, 149586]]",0.20767927169799805,0.9999731380390852
dummy,0.25,0,175000,300000,0.014618873596191406,0.50012,0.5001199508905982,0.5002865711429524,"[[74968, 74965], [74999, 75068]]",0.0479283332824707,0.5001199508905981
logreg,0.25,0,175000,300000,0.7439978122711182,0.99745,0.9974501320023841,0.9974503824426336,"[[149595, 338], [427, 149640]]",0.1626601219177246,0.9999800231071255
dummy,0.25,1,175000,300000,0.012269020080566406,0.4987333333333333,0.49873328394727606,0.49890036654448516,"[[74760, 75173], [75207, 74860]]",0.033869028091430664,0.4987332839472761
logreg,0.25,1,175000,300000,0.7239136695861816,0.9973933333333334,0.9973932792132636,0.9973948096078888,"[[149524, 409], [373, 149694]]",0.15280413627624512,0.9999782533289946
dummy,0.25,2,175000,300000,0.01605224609375,0.49976,0.4997599508187742,0.49992669110296567,"[[74914, 75019], [75053, 75014]]",0.042441368103027344,0.4997599508187741
logreg,0.25,2,175000,300000,0.7084653377532959,0.9976066666666666,0.9976066096113809,0.99760803805818,"[[149555, 378], [340, 149727]]",0.18723249435424805,0.9999810774628913
dummy,0.25,3,175000,300000,0.013236284255981445,0.5000933333333333,0.5000932842186112,0.5002599133622126,"[[74964, 74969], [75003, 75064]]",0.03923439979553223,0.5000932842186112
logreg,0.25,3,175000,300000,0.6964983940124512,0.9974033333333333,0.9974032181708021,0.9974051583719451,"[[149505, 428], [351, 149716]]",0.16352629661560059,0.9999786651512991
dummy,0.25,4,175000,300000,0.012970685958862305,0.4992,0.4991999507070479,0.4993668777074309,"[[74830, 75103], [75137, 74930]]",0.032782793045043945,0.499199950707048
logreg,0.25,4,175000,300000,0.740234375,0.9974,0.9973999726812657,0.9974013166662224,"[[149534, 399], [381, 149686]]",0.16176795959472656,0.9999795455514746
