model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,350,15000,0.0011551380157470703,0.5002666666666666,0.5002642223396544,0.49825970548862114,"[[3782, 3723], [3773, 3722]]",0.002506256103515625,0.5002642223396543
logreg,0.01,0,350,15000,0.013149261474609375,0.9274,0.9273958343981485,0.9268980331610391,"[[7007, 498], [591, 6904]]",0.007667064666748047,0.9840092906707959
dummy,0.01,1,350,15000,0.0006926059722900391,0.5049333333333333,0.504930891080396,0.5029451137884873,"[[3817, 3688], [3738, 3757]]",0.003643512725830078,0.504930891080396
logreg,0.01,1,350,15000,0.012048721313476562,0.9209333333333334,0.9209188981861769,0.9191326878494477,"[[7074, 431], [755, 6740]]",0.0073070526123046875,0.9825772011454228
dummy,0.01,2,350,15000,0.0008728504180908203,0.4998666666666667,0.49986422216187654,0.49785809906291834,"[[3779, 3726], [3776, 3719]]",0.0025081634521484375,0.49986422216187654
logreg,0.01,2,350,15000,0.012627124786376953,0.9211333333333334,0.9211381427280634,0.9216504404265183,"[[6859, 646], [537, 6958]]",0.006671905517578125,0.9809416270851676
dummy,0.01,3,350,15000,0.0007207393646240234,0.5010666666666667,0.5010642226952101,0.49906291834002675,"[[3788, 3717], [3767, 3728]]",0.003647327423095703,0.5010642226952101
logreg,0.01,3,350,15000,0.011758089065551758,0.9145333333333333,0.9145303620134942,0.9140980970249263,"[[6897, 608], [674, 6821]]",0.00843954086303711,0.9758895715064762
dummy,0.01,4,350,15000,0.0007448196411132812,0.4998666666666667,0.49986422216187654,0.49785809906291834,"[[3779, 3726], [3776, 3719]]",0.0036077499389648438,0.49986422216187654
logreg,0.01,4,350,15000,0.012135744094848633,0.9010666666666667,0.9010780004791114,0.9026629935720845,"[[6635, 870], [614, 6881]]",0.008658647537231445,0.9721330542813574
dummy,0.05,0,1750,15000,0.0009732246398925781,0.5002,0.500202044534242,0.5015623961172795,"[[3731, 3774], [3723, 3772]]",0.003155231475830078,0.5002020445342421
logreg,0.05,0,1750,15000,0.01569366455078125,0.9808666666666667,0.9808613692717196,0.9807006926232265,"[[7421, 84], [203, 7292]]",0.0074732303619384766,0.9988945772864788
