model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.0011665821075439453,0.47333333333333333,0.4730876927863461,0.4935897435897436,"[[65, 84], [74, 77]]",0.0028116703033447266,0.4730876927863461
logreg,0.01,0,7,300,0.023679494857788086,0.5433333333333333,0.5416462953909063,0.636604774535809,"[[43, 106], [31, 120]]",0.0005967617034912109,0.5993155251344504
dummy,0.01,1,7,300,0.0008525848388671875,0.52,0.5197564336192719,0.5384615384615384,"[[72, 77], [67, 84]]",0.001478433609008789,0.5197564336192719
logreg,0.01,1,7,300,0.012224435806274414,0.61,0.6092937463887285,0.6486486486486487,"[[75, 74], [43, 108]]",0.0009052753448486328,0.642339659540424
dummy,0.01,2,7,300,0.0011057853698730469,0.5133333333333333,0.5130894706431397,0.532051282051282,"[[71, 78], [68, 83]]",0.0024216175079345703,0.5130894706431397
logreg,0.01,2,7,300,0.012487649917602539,0.56,0.5592693008578159,0.6047904191616766,"[[67, 82], [50, 101]]",0.0007455348968505859,0.5999599982221432
dummy,0.01,3,7,300,0.0007708072662353516,0.5066666666666667,0.5064225076670075,0.5256410256410257,"[[70, 79], [69, 82]]",0.0015194416046142578,0.5064225076670075
logreg,0.01,3,7,300,0.010424613952636719,0.5133333333333333,0.511444953109027,0.6217616580310881,"[[34, 115], [31, 120]]",0.00048041343688964844,0.569758655940264
dummy,0.01,4,7,300,0.0004782676696777344,0.5066666666666667,0.5064225076670075,0.5256410256410257,"[[70, 79], [69, 82]]",0.0013515949249267578,0.5064225076670075
logreg,0.01,4,7,300,0.008607864379882812,0.5966666666666667,0.5969376416729633,0.5813148788927336,"[[95, 54], [67, 84]]",0.0004429817199707031,0.6573181030268013
dummy,0.05,0,35,300,0.0005257129669189453,0.45666666666666667,0.45688697275434464,0.43986254295532645,"[[73, 76], [87, 64]]",0.0012493133544921875,0.4568869727543446
logreg,0.05,0,35,300,0.011726856231689453,0.6666666666666666,0.6666962976132274,0.6666666666666666,"[[100, 49], [51, 100]]",0.0004477500915527344,0.7213653940175119
dummy,0.05,1,35,300,0.0005495548248291016,0.49,0.490221787635006,0.4742268041237113,"[[78, 71], [82, 69]]",0.0014128684997558594,0.49022178763500596
logreg,0.05,1,35,300,0.010261297225952148,0.68,0.6805635806035824,0.6521739130434783,"[[114, 35], [61, 90]]",0.0005211830139160156,0.7712342770789813
dummy,0.05,2,35,300,0.00036835670471191406,0.5233333333333333,0.5235566025156674,0.5085910652920962,"[[83, 66], [77, 74]]",0.0011823177337646484,0.5235566025156674
logreg,0.05,2,35,300,0.013454437255859375,0.68,0.679985777145651,0.6821192052980133,"[[101, 48], [48, 103]]",0.0007665157318115234,0.7784345970932042
dummy,0.05,3,35,300,0.0004897117614746094,0.49666666666666665,0.49688875061113824,0.48109965635738833,"[[79, 70], [81, 70]]",0.001207590103149414,0.49688875061113824
