model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.0005238056182861328,0.5466666666666666,0.5446273250367991,0.575,"[[72, 69], [67, 92]]",0.0014910697937011719,0.5446273250367991
logreg,0.01,0,7,300,0.014809608459472656,0.48333333333333334,0.4728355412819483,0.5706371191135734,"[[42, 99], [56, 103]]",0.0006020069122314453,0.47031535750925557
dummy,0.01,1,7,300,0.0006153583526611328,0.4666666666666667,0.4643382844908337,0.5,"[[60, 81], [79, 80]]",0.0012302398681640625,0.4643382844908336
logreg,0.01,1,7,300,0.01111292839050293,0.5233333333333333,0.5057540479057943,0.6397984886649875,"[[30, 111], [32, 127]]",0.0008065700531005859,0.5226370489317097
dummy,0.01,2,7,300,0.0005936622619628906,0.47333333333333333,0.4710290378696641,0.50625,"[[61, 80], [78, 81]]",0.0013208389282226562,0.4710290378696641
logreg,0.01,2,7,300,0.012690544128417969,0.48333333333333334,0.47564565770105716,0.553314121037464,"[[49, 92], [63, 96]]",0.0005047321319580078,0.47022614746420444
dummy,0.01,3,7,300,0.0006659030914306641,0.5266666666666666,0.5245550649003078,0.55625,"[[69, 72], [70, 89]]",0.0015633106231689453,0.5245550649003078
logreg,0.01,3,7,300,0.012037992477416992,0.49,0.4863508631071859,0.5321100917431193,"[[60, 81], [72, 87]]",0.00048828125,0.4790133369017352
dummy,0.01,4,7,300,0.0005400180816650391,0.46,0.4576475311120032,0.49375,"[[59, 82], [80, 79]]",0.0013079643249511719,0.4576475311120033
logreg,0.01,4,7,300,0.011478662490844727,0.55,0.5321156162183862,0.6616541353383458,"[[33, 108], [27, 132]]",0.000560760498046875,0.555020295285249
dummy,0.05,0,35,300,0.0005488395690917969,0.5333333333333333,0.5336544894955172,0.5454545454545454,"[[76, 65], [75, 84]]",0.001461029052734375,0.5336544894955172
logreg,0.05,0,35,300,0.012797117233276367,0.47,0.4690887193898033,0.49201277955271566,"[[64, 77], [82, 77]]",0.0005533695220947266,0.44493509969222533
dummy,0.05,1,35,300,0.0005819797515869141,0.48,0.4801284624648735,0.4935064935064935,"[[68, 73], [83, 76]]",0.0015215873718261719,0.4801284624648735
logreg,0.05,1,35,300,0.009705543518066406,0.4666666666666667,0.4703599625317811,0.4482758620689655,"[[75, 66], [94, 65]]",0.0005545616149902344,0.4803960926000268
dummy,0.05,2,35,300,0.0004038810729980469,0.48,0.4801284624648735,0.4935064935064935,"[[68, 73], [83, 76]]",0.0010297298431396484,0.4801284624648735
logreg,0.05,2,35,300,0.013652563095092773,0.49,0.49317543155359295,0.4778156996587031,"[[77, 64], [89, 70]]",0.0005714893341064453,0.5006021678040947
dummy,0.05,3,35,300,0.0005340576171875,0.52,0.5202729827378563,0.5324675324675324,"[[74, 67], [77, 82]]",0.001523733139038086,0.5202729827378563
logreg,0.05,3,35,300,0.014575004577636719,0.4533333333333333,0.4477452161113341,0.5119047619047619,"[[50, 91], [73, 86]]",0.0003554821014404297,0.4398055221017887
dummy,0.05,4,35,300,0.00036454200744628906,0.44666666666666666,0.44667469557072126,0.461038961038961,"[[63, 78], [88, 71]]",0.0011644363403320312,0.44667469557072126
logreg,0.05,4,35,300,0.013087272644042969,0.4766666666666667,0.4749765823631741,0.5047318611987381,"[[63, 78], [79, 80]]",0.0007870197296142578,0.47620322048262637
dummy,0.1,0,70,300,0.0005102157592773438,0.5466666666666666,0.5478388866586378,0.5526315789473685,"[[80, 61], [75, 84]]",0.0014450550079345703,0.5478388866586377
logreg,0.1,0,70,300,0.015186786651611328,0.52,0.5190686471296668,0.5414012738853503,"[[71, 70], [74, 85]]",0.0005109310150146484,0.5490878272893528
dummy,0.1,1,70,300,0.00037026405334472656,0.48,0.4809313528703332,0.4868421052631579,"[[70, 71], [85, 74]]",0.0008947849273681641,0.48093135287033323
logreg,0.1,1,70,300,0.024854421615600586,0.48,0.481332798073063,0.48344370860927155,"[[71, 70], [86, 73]]",0.001079559326171875,0.45265176858914313
dummy,0.1,2,70,300,0.0008127689361572266,0.47333333333333333,0.47424059949150277,0.48026315789473684,"[[69, 72], [86, 73]]",0.0012083053588867188,0.47424059949150277
logreg,0.1,2,70,300,0.014143943786621094,0.5133333333333333,0.5075605513180784,0.5680473372781065,"[[58, 83], [63, 96]]",0.0005400180816650391,0.5200945626477542
dummy,0.1,3,70,300,0.0003809928894042969,0.5266666666666666,0.5277666265221463,0.5328947368421053,"[[77, 64], [78, 81]]",0.0008544921875,0.5277666265221465
logreg,0.1,3,70,300,0.01103353500366211,0.47333333333333333,0.46982470226147466,0.5153374233128835,"[[58, 83], [75, 84]]",0.0004744529724121094,0.4543467594451135
dummy,0.1,4,70,300,0.0003571510314941406,0.4533333333333333,0.4541683393550114,0.4605263157894737,"[[66, 75], [89, 70]]",0.0009076595306396484,0.45416833935501133
logreg,0.1,4,70,300,0.012863874435424805,0.5633333333333334,0.5563361434497525,0.6202898550724638,"[[62, 79], [52, 107]]",0.0004520416259765625,0.5552433203978767
dummy,0.25,0,175,300,0.00036215782165527344,0.5466666666666666,0.5478388866586378,0.5526315789473685,"[[80, 61], [75, 84]]",0.0008306503295898438,0.5478388866586377
logreg,0.25,0,175,300,0.010906696319580078,0.5133333333333333,0.5087648869262679,0.5602409638554217,"[[61, 80], [66, 93]]",0.00048160552978515625,0.4850796199652081
dummy,0.25,1,175,300,0.0005888938903808594,0.48,0.4809313528703332,0.4868421052631579,"[[70, 71], [85, 74]]",0.0013556480407714844,0.48093135287033323
logreg,0.25,1,175,300,0.01012110710144043,0.5266666666666666,0.521744948481199,0.5748502994011976,"[[62, 79], [63, 96]]",0.0003437995910644531,0.5290155671528615
dummy,0.25,2,175,300,0.0005326271057128906,0.47333333333333333,0.47424059949150277,0.48026315789473684,"[[69, 72], [86, 73]]",0.0014767646789550781,0.47424059949150277
logreg,0.25,2,175,300,0.011934041976928711,0.48,0.4757125652348454,0.5272727272727272,"[[57, 84], [72, 87]]",0.0006420612335205078,0.47642624559525404
dummy,0.25,3,175,300,0.0004782676696777344,0.5266666666666666,0.5277666265221463,0.5328947368421053,"[[77, 64], [78, 81]]",0.0008792877197265625,0.5277666265221465
logreg,0.25,3,175,300,0.01101541519165039,0.47,0.4658771577679647,0.5167173252279635,"[[56, 85], [74, 85]]",0.0003864765167236328,0.4658102502341764
dummy,0.25,4,175,300,0.0005357265472412109,0.4533333333333333,0.4541683393550114,0.4605263157894737,"[[66, 75], [89, 70]]",0.0013201236724853516,0.45416833935501133
logreg,0.25,4,175,300,0.011049032211303711,0.5033333333333333,0.4993309246621169,0.547112462006079,"[[61, 80], [69, 90]]",0.0006051063537597656,0.489317097105134
dummy,0.5,0,350,300,0.00041937828063964844,0.5466666666666666,0.5478388866586378,0.5526315789473685,"[[80, 61], [75, 84]]",0.0009047985076904297,0.5478388866586377
logreg,0.5,0,350,300,0.007937431335449219,0.46,0.45644319550381374,0.5030674846625767,"[[56, 85], [77, 82]]",0.000415802001953125,0.45109059280074937
dummy,0.5,1,350,300,0.0004563331604003906,0.48,0.4809313528703332,0.4868421052631579,"[[70, 71], [85, 74]]",0.0013124942779541016,0.48093135287033323
logreg,0.5,1,350,300,0.008064746856689453,0.49666666666666665,0.4934430616887462,0.5353846153846153,"[[62, 79], [72, 87]]",0.0006709098815917969,0.5076497613631294
dummy,0.5,2,350,300,0.00042748451232910156,0.47333333333333333,0.47424059949150277,0.48026315789473684,"[[69, 72], [86, 73]]",0.0008950233459472656,0.47424059949150277
logreg,0.5,2,350,300,0.009431838989257812,0.44333333333333336,0.44152281546902183,0.47318611987381703,"[[58, 83], [84, 75]]",0.0006723403930664062,0.4548374146928944
dummy,0.5,3,350,300,0.00044083595275878906,0.5266666666666666,0.5277666265221463,0.5328947368421053,"[[77, 64], [78, 81]]",0.0008475780487060547,0.5277666265221465
logreg,0.5,3,350,300,0.008090496063232422,0.45,0.44660778803693296,0.49230769230769234,"[[55, 86], [79, 80]]",0.0006315708160400391,0.4528747937017708
dummy,0.5,4,350,300,0.0006103515625,0.4533333333333333,0.4541683393550114,0.4605263157894737,"[[66, 75], [89, 70]]",0.0014147758483886719,0.45416833935501133
logreg,0.5,4,350,300,0.008209228515625,0.49666666666666665,0.49143583567509697,0.5492537313432836,"[[57, 84], [67, 92]]",0.0005848407745361328,0.4897185423078639
