model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.49379999999999996,0.00799166232186187,0.49377033164894646,0.007992092118815837,0.48988915015115886,0.008053405094251126,70.0
dummy,0.05,0.506,0.008041558721209874,0.506017434715378,0.008041991201625596,0.5053404539385847,0.008052295114696155,350.0
dummy,0.1,0.5058666666666667,0.007737355275975554,0.5058723602469287,0.007737837365085299,0.5044125723930681,0.0077801825660939825,700.0
dummy,0.25,0.5056,0.007868361399370985,0.5056076348994768,0.007868784565118652,0.5042780748663102,0.007889399798834561,1750.0
dummy,0.5,0.5055333333333334,0.00781949131622031,0.5055394979018871,0.007821131114488218,0.504110727905642,0.007924438098586494,3500.0
dummy,0.75,0.5055333333333334,0.007794585014967448,0.5055385200715238,0.007795004212971814,0.504045469742561,0.007818039132364568,5250.0
dummy,1.0,0.5055333333333334,0.007794585014967448,0.5055385200715238,0.007795004212971814,0.504045469742561,0.007818039132364568,7000.0
logreg,0.01,0.733,0.027745870563623213,0.8155544364830286,0.03374304858517682,0.7316256901494055,0.02681755365411854,70.0
logreg,0.05,0.9208000000000001,0.00729002362440923,0.9808379028383305,0.0032288446673821437,0.9198697482270897,0.006860006917755397,350.0
logreg,0.1,0.9564,0.009449867723941944,0.994137018035192,0.0020646806988420716,0.956058821397679,0.009452407544824867,700.0
logreg,0.25,0.9791333333333334,0.0021029080394116954,0.9987672225928594,0.00013555942118873918,0.978985624138031,0.0020864962376329647,1750.0
logreg,0.5,0.9867333333333332,0.004037325847637268,0.9993292083707612,0.00043591825390200894,0.9865985600206901,0.004087094898647826,3500.0
logreg,0.75,0.9901333333333333,0.0024899799195977497,0.9996613151196131,0.0001737845659620176,0.990055114588402,0.0024925442509352766,5250.0
logreg,1.0,0.9919333333333332,0.0031657893521556996,0.9997552757281614,0.00015765305424189708,0.9918680715591981,0.0031919821314626688,7000.0
