model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.500394,0.0008821010272198139,0.5003105038662639,0.000882255217552565,0.5067714452133909,0.0008708410524121314,7000.0
dummy,0.05,0.5003906666666667,0.0008758690921973852,0.5003065969834642,0.0008760221931944198,0.5067892540771064,0.0008646516777645832,35000.0
dummy,0.1,0.500386,0.0008694902721326344,0.5003017091292218,0.000869642258118654,0.5067927620213427,0.0008583404299476479,70000.0
dummy,0.25,0.500386,0.0008720423027455469,0.5003017972779608,0.0008721947348238799,0.5067895161157636,0.0008608654002983253,175000.0
dummy,0.5,0.500386,0.0008720423027455469,0.5003017972779608,0.0008721947348238799,0.5067895161157636,0.0008608654002983253,350000.0
dummy,0.75,0.500386,0.0008720423027455469,0.5003017972779608,0.0008721947348238799,0.5067895161157636,0.0008608654002983253,525000.0
dummy,1.0,0.500386,0.0008720423027455469,0.5003017972779608,0.0008721947348238799,0.5067895161157636,0.0008608654002983253,700000.0
logreg,0.01,0.5003599999999999,0.0005461328694659478,0.49951984446176256,0.0005391495485455374,0.5285598623770146,0.0032655107713062174,7000.0
logreg,0.05,0.501098,0.0009772796711051829,0.49917616894925426,0.0012863380261321391,0.5582187312094905,0.0031503138351498855,35000.0
logreg,0.1,0.5020386666666667,0.0007902060209562654,0.4996728486598393,0.0009708668892823195,0.5753933110881542,0.00741471771106132,70000.0
logreg,0.25,0.5029033333333334,0.0005661419138931963,0.4993457448257589,0.0012968483426337367,0.6049587498787781,0.003070082935763151,175000.0
logreg,0.5,0.5040893333333333,0.00033019691094858294,0.4993176238577689,0.0007798945820180781,0.6304061687559372,0.0041810855179311365,350000.0
logreg,0.75,0.504786,0.0008927778123488111,0.4995357411066605,0.0011223820342058486,0.6441313765977659,0.004441202273701484,525000.0
logreg,1.0,0.504976,0.0005605126621624413,0.49948150769948574,0.001201195420625969,0.6488667055315347,0.0037407118514978135,700000.0
