model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.4973466666666667,0.003250435868208052,0.4972732030733666,0.0032512270868318505,0.5035359188779878,0.003210412722928854,350.0
dummy,0.05,0.4973066666666667,0.0033164907826060924,0.4972425556150011,0.003317298080266903,0.5032020028989327,0.00327759663586052,1750.0
dummy,0.1,0.4974266666666667,0.003292280533476937,0.4973698665974018,0.0032930819378973524,0.5030914244281853,0.0032551715774934995,3500.0
dummy,0.25,0.49736,0.0032922805334769517,0.49730214344963,0.0032930819378973524,0.5030582652254152,0.003254957026242717,8750.0
dummy,0.5,0.4973066666666667,0.0033405255740842727,0.49724796493141243,0.0033420986560295865,0.5030318661206427,0.003278652072871122,17500.0
dummy,0.75,0.49733333333333335,0.0033598941782277763,0.4972733897854715,0.0033607120411100824,0.5030974034532754,0.0033213663288135186,26250.0
dummy,1.0,0.49733333333333335,0.0033598941782277763,0.4972733897854715,0.0033607120411100824,0.5030974034532754,0.0033213663288135186,35000.0
logreg,0.01,0.49889333333333336,0.002736014944728524,0.5014651370001848,0.004321895390929105,0.5099792547344848,0.008458385895800826,350.0
logreg,0.05,0.5010533333333334,0.002683861231716555,0.5030037087603417,0.001618615325982039,0.5227994897513673,0.005360135189398363,1750.0
logreg,0.1,0.50324,0.0035782056334922488,0.5028297499812888,0.002902852866506911,0.5260529853825398,0.004870904726012855,3500.0
logreg,0.25,0.5026266666666667,0.0037317258444019685,0.5010482711072567,0.0035947959691747713,0.5387180729572936,0.002725839406139067,8750.0
logreg,0.5,0.5036933333333333,0.005414917666348548,0.5034601042731981,0.006892090455251028,0.5542020905422006,0.0067348215712601436,17500.0
logreg,0.75,0.5017733333333333,0.0021357278228588306,0.5015063665893732,0.002101172562650859,0.5589585112145791,0.0034028024029009417,26250.0
logreg,1.0,0.5032,0.002438123139721295,0.5025563181055741,0.004478250884762916,0.5697474879319696,0.005645030990138842,35000.0
