model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.504,0.018012341448141712,0.5037557224765545,0.018013142032232025,0.5230769230769231,0.017319559084751687,7.0
dummy,0.05,0.4966666666666667,0.026246692913372716,0.49688875061113824,0.02624785948490539,0.4810996563573883,0.027058446302446085,35.0
dummy,0.1,0.49333333333333335,0.02624669291337274,0.4935774923329926,0.02624785948490539,0.47586206896551725,0.027151751289695897,70.0
dummy,0.25,0.49333333333333335,0.02624669291337274,0.4935774923329926,0.02624785948490539,0.47586206896551725,0.027151751289695897,175.0
dummy,0.5,0.49333333333333335,0.02624669291337274,0.4935774923329926,0.02624785948490539,0.47586206896551725,0.027151751289695897,350.0
dummy,0.75,0.49333333333333335,0.02624669291337274,0.4935774923329926,0.02624785948490539,0.47586206896551725,0.027151751289695897,525.0
dummy,1.0,0.49333333333333335,0.02624669291337274,0.4935774923329926,0.02624785948490539,0.47586206896551725,0.027151751289695897,700.0
logreg,0.01,0.5646666666666667,0.03934180699685486,0.6137383883728166,0.03552922784730006,0.6186240758539912,0.026542283030481638,7.0
logreg,0.05,0.6886666666666666,0.027446918466985198,0.7721320947597671,0.03240665859237084,0.679822881089427,0.03900047413931235,35.0
logreg,0.1,0.7506666666666667,0.03810803356540743,0.8358060358238143,0.03576223957748346,0.7438003666492226,0.04384652050476082,70.0
logreg,0.25,0.866,0.02487747754272707,0.949099959998222,0.015657647966291287,0.8662628235105702,0.028329243243094916,175.0
logreg,0.5,0.9339999999999999,0.01785746031463851,0.9863193919729767,0.007117771848578554,0.934372192586121,0.018075916217349275,350.0
logreg,0.75,0.9513333333333334,0.016090024514862876,0.9925241121827636,0.004882070504641872,0.9512142396340423,0.01613779577621138,525.0
logreg,1.0,0.9626666666666667,0.01362187782780171,0.9954397973243255,0.003708360610396976,0.9628063624987135,0.013752581721189885,700.0
