model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.49466666666666664,0.039271137266728325,0.4924394486819216,0.039413024153681635,0.52625,0.03681669118755784,7.0
dummy,0.05,0.492,0.034769079494414115,0.49217181854676834,0.0348947004159114,0.5051948051948052,0.03386598652053323,35.0
dummy,0.1,0.496,0.03904413457159017,0.4969891609795263,0.03918520129625669,0.5026315789473685,0.0385303959588061,70.0
dummy,0.25,0.496,0.03904413457159017,0.4969891609795263,0.03918520129625669,0.5026315789473685,0.0385303959588061,175.0
dummy,0.5,0.496,0.03904413457159017,0.4969891609795263,0.03918520129625669,0.5026315789473685,0.0385303959588061,350.0
dummy,0.75,0.496,0.03904413457159017,0.4969891609795263,0.03918520129625669,0.5026315789473685,0.0385303959588061,525.0
dummy,1.0,0.496,0.03904413457159017,0.4969891609795263,0.03918520129625669,0.5026315789473685,0.0385303959588061,700.0
logreg,0.01,0.506,0.029664793948382666,0.4994424372184308,0.03790189579349011,0.591502791179498,0.05629149364518327,7.0
logreg,0.05,0.47133333333333327,0.013457752825457569,0.46838842053615243,0.02554418300297132,0.4869481928767769,0.02521750799206359,35.0
logreg,0.1,0.51,0.036055512754639904,0.5062848476738481,0.04998451641272859,0.5457039196316151,0.05215184755440626,70.0
logreg,0.25,0.49866666666666665,0.023404652908722644,0.4891297560105268,0.024044204892642477,0.5452387555526779,0.02367314258209479,175.0
logreg,0.5,0.4693333333333333,0.025647178748895105,0.47123422097328155,0.02588170830418854,0.510639928714397,0.031223091891762794,350.0
logreg,0.75,0.496,0.02575525836277579,0.49490164592533115,0.028170524364586634,0.5443910950869619,0.0256050581337034,525.0
logreg,1.0,0.49399999999999994,0.020869967789998046,0.491395691154824,0.020136823670837457,0.5427248391094623,0.02581167847780454,700.0
