model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7000,300000,0.0008442401885986328,0.49926333333333334,0.4991796395602518,0.5056552114492939,"[[72950, 75067], [75154, 76829]]",0.027039766311645508,0.4991796395602519
logreg,0.01,0,7000,300000,0.007292509078979492,0.5002866666666667,0.4996519136321691,0.5261674031088607,"[[66850, 81167], [68747, 83236]]",0.08278727531433105,0.4989662229506614
dummy,0.01,1,7000,300000,0.0004792213439941406,0.50131,0.5012266639821015,0.5076757525199175,"[[73257, 74760], [74847, 77136]]",0.02362680435180664,0.5012266639821015
logreg,0.01,1,7000,300000,0.0047321319580078125,0.4998766666666667,0.4991675766520367,0.5282908533000493,"[[65946, 82071], [67966, 84017]]",0.05252575874328613,0.49910514856380184
dummy,0.01,2,7000,300000,0.0005655288696289062,0.49969,0.49960638080780356,0.5060764317376324,"[[73014, 75003], [75090, 76893]]",0.016310691833496094,0.4996063808078035
logreg,0.01,2,7000,300000,0.006518840789794922,0.5010533333333334,0.5004338758944625,0.5263794052689199,"[[67137, 80880], [68804, 83179]]",0.06777572631835938,0.5001919683277752
dummy,0.01,3,7000,300000,0.00046372413635253906,0.5006566666666666,0.500573216446788,0.5070307589533992,"[[73159, 74858], [74945, 77038]]",0.014212369918823242,0.500573216446788
logreg,0.01,3,7000,300000,0.0067119598388671875,0.49981,0.49911394434547096,0.5277885296200142,"[[66084, 81933], [68124, 83859]]",0.06258463859558105,0.4993608226253262
dummy,0.01,4,7000,300000,0.0005223751068115234,0.50105,0.5009666185343746,0.5074190714067113,"[[73218, 74799], [74886, 77097]]",0.016060829162597656,0.5009666185343746
logreg,0.01,4,7000,300000,0.0045757293701171875,0.5007733333333333,0.4999128282984745,0.534173120587229,"[[64361, 83656], [66112, 85871]]",0.05330491065979004,0.49997505984124835
dummy,0.05,0,35000,300000,0.001363515853881836,0.49927333333333335,0.49918906834143817,0.5056862306345675,"[[72945, 75072], [75146, 76837]]",0.017577409744262695,0.4991890683414382
logreg,0.05,0,35000,300000,0.02534341812133789,0.50258,0.5009170402029823,0.5607434270172258,"[[55525, 92492], [56734, 95249]]",0.05850648880004883,0.501231884249995
dummy,0.05,1,35000,300000,0.0011851787567138672,0.5013066666666667,0.5012227570993019,0.5076935226988536,"[[73250, 74767], [74841, 77142]]",0.017655611038208008,0.5012227570993019
logreg,0.05,1,35000,300000,0.024057626724243164,0.5005933333333333,0.4988226611050317,0.5621288286181904,"[[54009, 94008], [55814, 96169]]",0.0593414306640625,0.4984586275723626
dummy,0.05,2,35000,300000,0.001987457275390625,0.4996933333333333,0.4996091417569969,0.5061008516183381,"[[73008, 75009], [75083, 76900]]",0.018596649169921875,0.4996091417569969
logreg,0.05,2,35000,300000,0.031961917877197266,0.5015466666666667,0.49997890317960914,0.5570091243038274,"[[56452, 91565], [57971, 94012]]",0.11341643333435059,0.49959290887555774
dummy,0.05,3,35000,300000,0.0013246536254882812,0.5006266666666667,0.5005426382360163,0.5070222315822727,"[[73148, 74869], [74943, 77040]]",0.014687299728393555,0.5005426382360163
logreg,0.05,3,35000,300000,0.05268359184265137,0.50066,0.49907215990953857,0.5568145509626877,"[[56093, 91924], [57878, 94105]]",0.09212946891784668,0.49858532811561374
dummy,0.05,4,35000,300000,0.0010840892791748047,0.5010533333333334,0.500969379483568,0.5074434338514999,"[[73212, 74805], [74879, 77104]]",0.013889551162719727,0.5009693794835679
logreg,0.05,4,35000,300000,0.03734540939331055,0.50011,0.4985865445726565,0.5543977251455211,"[[56742, 91275], [58692, 93291]]",0.06552815437316895,0.4980120959327423
dummy,0.1,0,70000,300000,0.0028679370880126953,0.49928333333333336,0.49919884971758033,0.505704235316571,"[[72944, 75073], [75142, 76841]]",0.01992177963256836,0.49919884971758033
logreg,0.1,0,70000,300000,0.07145452499389648,0.50244,0.4998875949551501,0.585256068284876,"[[45414, 102603], [46665, 105318]]",0.0814964771270752,0.5005523091261823
dummy,0.1,1,70000,300000,0.0025780200958251953,0.5013033333333333,0.5012192028114579,0.507698332000645,"[[73247, 74770], [74839, 77144]]",0.01465153694152832,0.5012192028114579
logreg,0.1,1,70000,300000,0.0574185848236084,0.5011733333333334,0.4990405593200875,0.5728955585110937,"[[49987, 98030], [51618, 100365]]",0.05761289596557617,0.4982743943964474
dummy,0.1,2,70000,300000,0.0020122528076171875,0.49969,0.49960558746915307,0.506105687124256,"[[73005, 75012], [75081, 76902]]",0.01545858383178711,0.49960558746915307
logreg,0.1,2,70000,300000,0.0834040641784668,0.50264,0.5006198720007045,0.5710293593385236,"[[51482, 96535], [52673, 99310]]",0.07864713668823242,0.5006312088709199
dummy,0.1,3,70000,300000,0.00193023681640625,0.50061,0.5005257482841865,0.5070138895744282,"[[73143, 74874], [74943, 77040]]",0.017952680587768555,0.5005257482841864
logreg,0.1,3,70000,300000,0.09954714775085449,0.50275,0.5003795440656424,0.5807064537617666,"[[47524, 100493], [48682, 103301]]",0.08164095878601074,0.4993386462162574
dummy,0.1,4,70000,300000,0.00188446044921875,0.5010433333333333,0.5009591573637311,0.5074416660908136,"[[73208, 74809], [74878, 77105]]",0.014194726943969727,0.5009591573637311
logreg,0.1,4,70000,300000,0.06508564949035645,0.50119,0.49926521584961636,0.5670791155445106,"[[52349, 95668], [53975, 98008]]",0.08233857154846191,0.4995676846893893
dummy,0.25,0,175000,300000,0.005381345748901367,0.49927666666666665,0.49919227003432626,0.5056944010266704,"[[72944, 75073], [75144, 76839]]",0.01459646224975586,0.4991922700343262
logreg,0.25,0,175000,300000,0.2151179313659668,0.50361,0.5003776878745722,0.6032424367564976,"[[37874, 110143], [38774, 113209]]",0.06329989433288574,0.501082031749402
