model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,3500,150000,0.00043201446533203125,0.49821333333333334,0.49816280139694324,0.5032077514058664,"[[36612, 37585], [37683, 38120]]",0.007078647613525391,0.4981628013969433
logreg,0.01,0,3500,150000,0.0032362937927246094,0.5005533333333333,0.500195610334454,0.5191926322882906,"[[34634, 39563], [35354, 40449]]",0.02968764305114746,0.5000885944224855
dummy,0.01,1,3500,150000,0.0005426406860351562,0.50204,0.5019899067750752,0.5069963302267867,"[[36899, 37298], [37396, 38407]]",0.009642839431762695,0.5019899067750752
logreg,0.01,1,3500,150000,0.0033359527587890625,0.4991933333333333,0.4988405942052816,0.5176605048059945,"[[34568, 39629], [35492, 40311]]",0.028484344482421875,0.49893709442291867
dummy,0.01,2,3500,150000,0.0004162788391113281,0.5001466666666666,0.5000963563789262,0.5051218417509307,"[[36757, 37440], [37538, 38265]]",0.007208108901977539,0.5000963563789262
logreg,0.01,2,3500,150000,0.003254413604736328,0.50024,0.5000256554742899,0.5126067903722872,"[[35615, 38582], [36382, 39421]]",0.02909708023071289,0.5000738078385705
dummy,0.01,3,3500,150000,0.0003733634948730469,0.50016,0.500109691240871,0.5051350423740001,"[[36758, 37439], [37537, 38266]]",0.00928187370300293,0.500109691240871
logreg,0.01,3,3500,150000,0.00410008430480957,0.50328,0.5028688359735565,0.5241173164375862,"[[34462, 39735], [34773, 41030]]",0.03232717514038086,0.5021860490816217
dummy,0.01,4,3500,150000,0.000415802001953125,0.4995866666666667,0.49953629217724843,0.5045674155820155,"[[36715, 37482], [37580, 38223]]",0.008692026138305664,0.49953629217724843
logreg,0.01,4,3500,150000,0.002766132354736328,0.4997533333333333,0.4993304146213905,0.5212248049155538,"[[34118, 40079], [34958, 40845]]",0.026034832000732422,0.5000846807294038
dummy,0.05,0,17500,150000,0.0007338523864746094,0.4982066666666667,0.4981564908957756,0.5031847554173845,"[[36614, 37583], [37686, 38117]]",0.007096290588378906,0.4981564908957756
logreg,0.05,0,17500,150000,0.013149499893188477,0.5002266666666667,0.49938769345408507,0.5388296956125889,"[[31239, 42958], [32008, 43795]]",0.03295302391052246,0.49949329915995344
dummy,0.05,1,17500,150000,0.001013040542602539,0.5020333333333333,0.5019835962739075,0.5069734592714336,"[[36901, 37296], [37399, 38404]]",0.008292913436889648,0.5019835962739075
logreg,0.05,1,17500,150000,0.01359415054321289,0.49952,0.4987840270986186,0.5340384328914047,"[[31908, 42289], [32783, 43020]]",0.02718663215637207,0.4979017638290547
dummy,0.05,2,17500,150000,0.0007395744323730469,0.5001266666666667,0.500076711015814,0.5050857078737715,"[[36758, 37439], [37542, 38261]]",0.0076329708099365234,0.500076711015814
logreg,0.05,2,17500,150000,0.013939619064331055,0.5024466666666667,0.5017105295937558,0.5367833712969917,"[[32124, 42073], [32560, 43243]]",0.027498722076416016,0.5011010923545351
dummy,0.05,3,17500,150000,0.0013391971588134766,0.5001666666666666,0.500116715601648,0.5051253110499462,"[[36761, 37436], [37539, 38264]]",0.014107942581176758,0.500116715601648
logreg,0.05,3,17500,150000,0.014039993286132812,0.49983333333333335,0.4991795615953658,0.5309794262351448,"[[32507, 41690], [33335, 42468]]",0.03762245178222656,0.4992142673515585
dummy,0.05,4,17500,150000,0.000978231430053711,0.49959333333333333,0.49954331653802553,0.5045576655247751,"[[36718, 37479], [37582, 38221]]",0.008568763732910156,0.49954331653802553
logreg,0.05,4,17500,150000,0.014951705932617188,0.5015866666666666,0.5008370818236255,0.5365206501928013,"[[31966, 42231], [32531, 43272]]",0.0298459529876709,0.4999843175800595
dummy,0.1,0,35000,150000,0.0017235279083251953,0.4982,0.4981498948507642,0.5031748755792003,"[[36614, 37583], [37687, 38116]]",0.011000633239746094,0.4981498948507642
logreg,0.1,0,35000,150000,0.02459430694580078,0.5016466666666667,0.5005979101400604,0.5483120539949364,"[[29875, 44322], [30431, 45372]]",0.0314335823059082,0.500369913248603
dummy,0.1,1,35000,150000,0.0010714530944824219,0.5020266666666666,0.5019770002288961,0.5069636044408654,"[[36901, 37296], [37400, 38403]]",0.007192373275756836,0.5019770002288961
logreg,0.1,1,35000,150000,0.03280758857727051,0.5003666666666666,0.49920297476817016,0.5515095299362676,"[[28975, 45222], [29723, 46080]]",0.04230856895446777,0.49927092824675057
