model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7000,300000,0.0005705356597900391,0.50016,0.5001594767003159,0.5006826188589276,"[[74867, 74943], [75009, 75181]]",0.014064311981201172,0.5001594767003159
logreg,0.01,0,7000,300000,0.012580394744873047,0.9921333333333333,0.9921352882703959,0.9921310775755716,"[[148863, 947], [1413, 148777]]",0.05328178405761719,0.9998166301946823
dummy,0.01,1,7000,300000,0.000476837158203125,0.49912666666666666,0.499126141709054,0.4996503659503053,"[[74712, 75098], [75164, 75026]]",0.013888835906982422,0.49912614170905406
logreg,0.01,1,7000,300000,0.011555194854736328,0.9921233333333334,0.9921226240278546,0.9921376166630621,"[[148546, 1264], [1099, 149091]]",0.055355072021484375,0.9998095437833123
dummy,0.01,2,7000,300000,0.00045609474182128906,0.5008866666666667,0.5008861445328807,0.5014085257430556,"[[74976, 74834], [74900, 75290]]",0.013736963272094727,0.5008861445328808
logreg,0.01,2,7000,300000,0.010574817657470703,0.9921533333333333,0.992151327851686,0.9921755547578212,"[[148397, 1413], [941, 149249]]",0.056043386459350586,0.9998152348146656
dummy,0.01,3,7000,300000,0.0005507469177246094,0.5000866666666667,0.5000861432493232,0.5006093622008964,"[[74856, 74954], [75020, 75170]]",0.013994216918945312,0.5000861432493231
logreg,0.01,3,7000,300000,0.009809494018554688,0.9929566666666667,0.9929567102549884,0.9929652724833288,"[[148760, 1050], [1063, 149127]]",0.05681777000427246,0.9998465849982986
dummy,0.01,4,7000,300000,0.0007147789001464844,0.4991333333333333,0.49913280838641705,0.49965702564649,"[[74713, 75097], [75163, 75027]]",0.014876127243041992,0.49913280838641694
logreg,0.01,4,7000,300000,0.011892318725585938,0.9926,0.9926001570162519,0.9926083771725378,"[[148720, 1090], [1130, 149060]]",0.05813455581665039,0.9998273363896375
dummy,0.05,0,35000,300000,0.0009951591491699219,0.5001566666666667,0.5001560631392835,0.500710877592539,"[[74857, 74953], [75000, 75190]]",0.016394615173339844,0.5001560631392836
logreg,0.05,0,35000,300000,0.1068880558013916,0.9976266666666667,0.9976254384123701,0.9976319552998304,"[[149309, 501], [211, 149979]]",0.06908798217773438,0.9999840587299786
dummy,0.05,1,35000,300000,0.001332998275756836,0.4991233333333333,0.4991227281480216,0.49967868998744724,"[[74702, 75108], [75155, 75035]]",0.014193534851074219,0.49912272814802155
logreg,0.05,1,35000,300000,0.11610293388366699,0.9967033333333334,0.996703661600097,0.9967066376735342,"[[149355, 455], [534, 149656]]",0.06758522987365723,0.9999668953691078
dummy,0.05,2,35000,300000,0.0012481212615966797,0.5008766666666666,0.5008760642944854,0.5014300792786673,"[[74965, 74845], [74892, 75298]]",0.01634979248046875,0.5008760642944853
logreg,0.05,2,35000,300000,0.14079666137695312,0.9975966666666667,0.9975970639224003,0.9975989476663836,"[[149497, 313], [408, 149782]]",0.06867623329162598,0.9999820856157018
dummy,0.05,3,35000,300000,0.0010671615600585938,0.5000766666666666,0.5000760630109278,0.5006309662940802,"[[74845, 74965], [75012, 75178]]",0.013878822326660156,0.5000760630109278
logreg,0.05,3,35000,300000,0.0914607048034668,0.9973433333333334,0.9973427590699379,0.9973478861288122,"[[149344, 466], [331, 149859]]",0.06266117095947266,0.9999790372108107
dummy,0.05,4,35000,300000,0.0016274452209472656,0.49913,0.49912939482538454,0.49968534926231883,"[[74703, 75107], [75154, 75036]]",0.01832437515258789,0.49912939482538465
logreg,0.05,4,35000,300000,0.11786580085754395,0.99767,0.9976697809279595,0.9976733426310866,"[[149435, 375], [324, 149866]]",0.0665276050567627,0.9999824688607611
dummy,0.1,0,70000,300000,0.00180816650390625,0.5001566666666667,0.5001560631392835,0.500710877592539,"[[74857, 74953], [75000, 75190]]",0.013749837875366211,0.5001560631392836
logreg,0.1,0,70000,300000,0.32830309867858887,0.9982533333333333,0.9982530518637854,0.9982559261897312,"[[149515, 295], [229, 149961]]",0.06748390197753906,0.9999907510518273
dummy,0.1,1,70000,300000,0.0017011165618896484,0.4991233333333333,0.4991227281480216,0.49967868998744724,"[[74702, 75108], [75155, 75035]]",0.013939142227172852,0.49912272814802155
logreg,0.1,1,70000,300000,0.2848799228668213,0.9981566666666667,0.9981562879307553,0.998159543913016,"[[149489, 321], [232, 149958]]",0.07029938697814941,0.9999899497616528
dummy,0.1,2,70000,300000,0.0016865730285644531,0.5008766666666666,0.5008760642944854,0.5014300792786673,"[[74965, 74845], [74892, 75298]]",0.013995170593261719,0.5008760642944853
logreg,0.1,2,70000,300000,0.3237605094909668,0.9985366666666666,0.9985364152073151,0.998538804882189,"[[149561, 249], [190, 150000]]",0.07323360443115234,0.9999929106997367
dummy,0.1,3,70000,300000,0.0017893314361572266,0.5000766666666666,0.5000760630109278,0.5006309662940802,"[[74845, 74965], [75012, 75178]]",0.013875007629394531,0.5000760630109278
logreg,0.1,3,70000,300000,0.3433213233947754,0.9985033333333333,0.9985031831539961,0.9985054008621407,"[[149568, 242], [207, 149983]]",0.07147336006164551,0.9999930204776907
dummy,0.1,4,70000,300000,0.001718759536743164,0.49913,0.49912939482538454,0.49968534926231883,"[[74703, 75107], [75154, 75036]]",0.014287948608398438,0.49912939482538465
logreg,0.1,4,70000,300000,0.33643102645874023,0.9984866666666666,0.9984870526836711,0.9984881180733163,"[[149629, 181], [273, 149917]]",0.07487940788269043,0.9999925904770008
