model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.00052642822265625,0.5466666666666666,0.5446273250367991,0.575,"[[72, 69], [67, 92]]",0.0009326934814453125,0.5446273250367991
logreg,0.01,0,7,300,0.023347854614257812,0.48333333333333334,0.4728355412819483,0.5706371191135734,"[[42, 99], [56, 103]]",0.0008759498596191406,0.47031535750925557
dummy,0.01,1,7,300,0.0004191398620605469,0.4666666666666667,0.4643382844908337,0.5,"[[60, 81], [79, 80]]",0.0008594989776611328,0.4643382844908336
logreg,0.01,1,7,300,0.010342836380004883,0.5233333333333333,0.5057540479057943,0.6397984886649875,"[[30, 111], [32, 127]]",0.0008480548858642578,0.5226370489317097
dummy,0.01,2,7,300,0.0003795623779296875,0.47333333333333333,0.4710290378696641,0.50625,"[[61, 80], [78, 81]]",0.0009362697601318359,0.4710290378696641
logreg,0.01,2,7,300,0.011401653289794922,0.48333333333333334,0.47564565770105716,0.553314121037464,"[[49, 92], [63, 96]]",0.0004477500915527344,0.47022614746420444
dummy,0.01,3,7,300,0.000732421875,0.5266666666666666,0.5245550649003078,0.55625,"[[69, 72], [70, 89]]",0.0019268989562988281,0.5245550649003078
logreg,0.01,3,7,300,0.009600162506103516,0.49,0.4863508631071859,0.5321100917431193,"[[60, 81], [72, 87]]",0.00037360191345214844,0.4790133369017352
dummy,0.01,4,7,300,0.0003616809844970703,0.46,0.4576475311120032,0.49375,"[[59, 82], [80, 79]]",0.0008540153503417969,0.4576475311120033
logreg,0.01,4,7,300,0.0072972774505615234,0.55,0.5321156162183862,0.6616541353383458,"[[33, 108], [27, 132]]",0.0003726482391357422,0.555020295285249
dummy,0.05,0,35,300,0.0004031658172607422,0.5333333333333333,0.5336544894955172,0.5454545454545454,"[[76, 65], [75, 84]]",0.0008463859558105469,0.5336544894955172
logreg,0.05,0,35,300,0.007317304611206055,0.47,0.4690887193898033,0.49201277955271566,"[[64, 77], [82, 77]]",0.0003452301025390625,0.44493509969222533
dummy,0.05,1,35,300,0.0003974437713623047,0.48,0.4801284624648735,0.4935064935064935,"[[68, 73], [83, 76]]",0.0008566379547119141,0.4801284624648735
logreg,0.05,1,35,300,0.0066225528717041016,0.4666666666666667,0.4703599625317811,0.4482758620689655,"[[75, 66], [94, 65]]",0.00040602684020996094,0.4803960926000268
dummy,0.05,2,35,300,0.00038361549377441406,0.48,0.4801284624648735,0.4935064935064935,"[[68, 73], [83, 76]]",0.0009264945983886719,0.4801284624648735
logreg,0.05,2,35,300,0.010365962982177734,0.49,0.49317543155359295,0.4778156996587031,"[[77, 64], [89, 70]]",0.0005767345428466797,0.5006021678040947
dummy,0.05,3,35,300,0.0003833770751953125,0.52,0.5202729827378563,0.5324675324675324,"[[74, 67], [77, 82]]",0.0008869171142578125,0.5202729827378563
logreg,0.05,3,35,300,0.009304285049438477,0.4533333333333333,0.4477452161113341,0.5119047619047619,"[[50, 91], [73, 86]]",0.00048041343688964844,0.4398055221017887
dummy,0.05,4,35,300,0.0004658699035644531,0.44666666666666666,0.44667469557072126,0.461038961038961,"[[63, 78], [88, 71]]",0.0008404254913330078,0.44667469557072126
logreg,0.05,4,35,300,0.010208845138549805,0.4766666666666667,0.4749765823631741,0.5047318611987381,"[[63, 78], [79, 80]]",0.00037360191345214844,0.47620322048262637
dummy,0.1,0,70,300,0.0004038810729980469,0.5466666666666666,0.5478388866586378,0.5526315789473685,"[[80, 61], [75, 84]]",0.0008256435394287109,0.5478388866586377
logreg,0.1,0,70,300,0.01156759262084961,0.52,0.5190686471296668,0.5414012738853503,"[[71, 70], [74, 85]]",0.00040340423583984375,0.5490878272893528
dummy,0.1,1,70,300,0.0005002021789550781,0.48,0.4809313528703332,0.4868421052631579,"[[70, 71], [85, 74]]",0.0011115074157714844,0.48093135287033323
logreg,0.1,1,70,300,0.012124776840209961,0.48,0.481332798073063,0.48344370860927155,"[[71, 70], [86, 73]]",0.0005042552947998047,0.45265176858914313
dummy,0.1,2,70,300,0.0003750324249267578,0.47333333333333333,0.47424059949150277,0.48026315789473684,"[[69, 72], [86, 73]]",0.0008437633514404297,0.47424059949150277
logreg,0.1,2,70,300,0.011052131652832031,0.5133333333333333,0.5075605513180784,0.5680473372781065,"[[58, 83], [63, 96]]",0.00043201446533203125,0.5200945626477542
dummy,0.1,3,70,300,0.0003924369812011719,0.5266666666666666,0.5277666265221463,0.5328947368421053,"[[77, 64], [78, 81]]",0.0008716583251953125,0.5277666265221465
logreg,0.1,3,70,300,0.008462905883789062,0.47333333333333333,0.46982470226147466,0.5153374233128835,"[[58, 83], [75, 84]]",0.00037026405334472656,0.4543467594451135
dummy,0.1,4,70,300,0.00041103363037109375,0.4533333333333333,0.4541683393550114,0.4605263157894737,"[[66, 75], [89, 70]]",0.0008428096771240234,0.45416833935501133
logreg,0.1,4,70,300,0.011046648025512695,0.5633333333333334,0.5563361434497525,0.6202898550724638,"[[62, 79], [52, 107]]",0.00035190582275390625,0.5552433203978767
