model,train_frac,repeat,n_train,n_test,train_time_s,accuracy,balancedAccuracy,f1,confusion,predictTimeSec,roc_auc
dummy,0.01,0,7,300,0.00047397613525390625,0.5433333333333333,0.5406602254428341,0.5758513931888545,"[[70, 68], [69, 93]]",0.0010728836059570312,0.5406602254428341
logreg,0.01,0,7,300,0.00919795036315918,0.5466666666666666,0.5174449812130972,0.6777251184834123,"[[21, 117], [19, 143]]",0.0005023479461669922,0.5398998031848273
dummy,0.01,1,7,300,0.00040531158447265625,0.47,0.4668545356951154,0.5077399380804953,"[[59, 79], [80, 82]]",0.0008685588836669922,0.4668545356951154
logreg,0.01,1,7,300,0.006747007369995117,0.4866666666666667,0.4704777241009125,0.5860215053763441,"[[37, 101], [53, 109]]",0.0004363059997558594,0.4416264090177134
dummy,0.01,2,7,300,0.0004057884216308594,0.5166666666666667,0.5138217928073001,0.5510835913312694,"[[66, 72], [73, 89]]",0.0008542537689208984,0.5138217928073001
logreg,0.01,2,7,300,0.008463144302368164,0.52,0.49973161567364466,0.6288659793814433,"[[34, 104], [40, 122]]",0.00039005279541015625,0.5143585614600107
dummy,0.01,3,7,300,0.00038814544677734375,0.4633333333333333,0.4601449275362319,0.5015479876160991,"[[58, 80], [81, 81]]",0.0008599758148193359,0.4601449275362318
logreg,0.01,3,7,300,0.007967710494995117,0.5366666666666666,0.5076489533011272,0.669833729216152,"[[20, 118], [21, 141]]",0.0004553794860839844,0.5180264805868671
dummy,0.01,4,7,300,0.00040030479431152344,0.49666666666666665,0.49369296833064946,0.5325077399380805,"[[63, 75], [76, 86]]",0.0008857250213623047,0.4936929683306496
logreg,0.01,4,7,300,0.0073816776275634766,0.49666666666666665,0.4786634460547504,0.6015831134564644,"[[35, 103], [48, 114]]",0.0003867149353027344,0.4875648595455358
dummy,0.05,0,35,300,0.0004208087921142578,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.0008456707000732422,0.5304616210413311
logreg,0.05,0,35,300,0.007569074630737305,0.47,0.46792807300053674,0.5015673981191222,"[[61, 77], [82, 80]]",0.0003905296325683594,0.4946323134728932
dummy,0.05,1,35,300,0.00043463706970214844,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0008575916290283203,0.4834943639291465
logreg,0.05,1,35,300,0.009953737258911133,0.49333333333333335,0.48738593666129904,0.5449101796407185,"[[57, 81], [71, 91]]",0.0005655288696289062,0.4928430846305243
dummy,0.05,2,35,300,0.0006005764007568359,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.0012516975402832031,0.5170424047235641
logreg,0.05,2,35,300,0.010057449340820312,0.5166666666666667,0.49879227053140096,0.6174142480211082,"[[38, 100], [45, 117]]",0.0004000663757324219,0.5268831633565934
dummy,0.05,3,35,300,0.0007524490356445312,0.45666666666666667,0.4566559312936124,0.4758842443729904,"[[63, 75], [88, 74]]",0.0013594627380371094,0.4566559312936125
logreg,0.05,3,35,300,0.012837886810302734,0.5533333333333333,0.5456253354804079,0.6081871345029239,"[[62, 76], [58, 104]]",0.0004830360412597656,0.5290749686884952
dummy,0.05,4,35,300,0.000652313232421875,0.49666666666666665,0.49691358024691357,0.5144694533762058,"[[69, 69], [82, 80]]",0.0012273788452148438,0.49691358024691357
logreg,0.05,4,35,300,0.009421586990356445,0.47,0.4684648416532474,0.49842271293375395,"[[62, 76], [83, 79]]",0.00037598609924316406,0.44314725353372697
dummy,0.1,0,70,300,0.0003502368927001953,0.53,0.5304616210413312,0.5466237942122186,"[[74, 64], [77, 85]]",0.0009200572967529297,0.5304616210413311
logreg,0.1,0,70,300,0.010541439056396484,0.5466666666666666,0.5432098765432098,0.5828220858895705,"[[69, 69], [67, 95]]",0.0003638267517089844,0.5665593129361246
dummy,0.1,1,70,300,0.0003833770751953125,0.48333333333333334,0.4834943639291465,0.5016077170418006,"[[67, 71], [84, 78]]",0.0008449554443359375,0.4834943639291465
logreg,0.1,1,70,300,0.009637594223022461,0.5433333333333333,0.5299248523886205,0.6225895316804407,"[[50, 88], [49, 113]]",0.0003509521484375,0.5365897298264448
dummy,0.1,2,70,300,0.0004162788391113281,0.5166666666666667,0.5170424047235642,0.5337620578778135,"[[72, 66], [79, 83]]",0.0008902549743652344,0.5170424047235641
logreg,0.1,2,70,300,0.012853145599365234,0.5033333333333333,0.4982555018786903,0.5498489425981873,"[[60, 78], [71, 91]]",0.0003631114959716797,0.4883700125246019
dummy,0.1,3,70,300,0.00035071372985839844,0.45666666666666667,0.4566559312936124,0.4758842443729904,"[[63, 75], [88, 74]]",0.0008733272552490234,0.4566559312936125
logreg,0.1,3,70,300,0.010918378829956055,0.51,0.5038915727321525,0.5611940298507463,"[[59, 79], [68, 94]]",0.0003552436828613281,0.5069332617641797
