model,train_frac,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_n_train
dummy,0.01,0.4998786666666667,0.0007515820351469052,0.4998781429155982,0.0007515832410204712,0.500401579679935,0.0007507962017890409,7000.0
dummy,0.05,0.49987266666666663,0.0007488895483016985,0.49987206268362055,0.0007488907498552989,0.5004271924830105,0.000748059202586856,35000.0
dummy,0.1,0.49987266666666663,0.0007488895483016985,0.49987206268362055,0.0007488907498552989,0.5004271924830105,0.000748059202586856,70000.0
dummy,0.25,0.499874,0.0007493493473970721,0.4998733875746352,0.0007493505496884291,0.5004318510996055,0.0007485135073139231,175000.0
dummy,0.5,0.49987266666666663,0.0007488895483016985,0.49987205930583734,0.0007488871189976244,0.5004285214776907,0.0007494880453693514,350000.0
dummy,0.75,0.49987066666666663,0.0007493493473970598,0.49987005845818266,0.0007493505496884241,0.5004268580979843,0.0007485159995842511,525000.0
dummy,1.0,0.49987066666666663,0.0007493493473970598,0.49987005845818266,0.0007493505496884241,0.5004268580979843,0.0007485159995842511,700000.0
logreg,0.01,0.9923933333333335,0.00037354904482397606,0.9998230660361193,1.4637083953076857e-05,0.9924035797304643,0.00037230025070244497,7000.0
logreg,0.05,0.9973879999999999,0.0004033581259597403,0.9999789091572721,6.95749559667534e-06,0.9973917538799293,0.00040349312506517853,35000.0
logreg,0.1,0.9983873333333333,0.0001708703211990506,0.9999918444935817,1.4019494823657459e-06,0.9983895587840786,0.00017042023759512897,70000.0
logreg,0.25,0.9991126666666666,9.676431849256138e-05,0.9999977340230309,3.697316861900231e-07,0.9991138654944409,9.667204704908166e-05,175000.0
logreg,0.5,0.9994413333333334,4.705788397752491e-05,0.9999991579275378,1.012193603350277e-07,0.9994421341778793,4.692848519680042e-05,350000.0
logreg,0.75,0.9995486666666666,4.7469288317135685e-05,0.9999994213768494,5.095982864425725e-08,0.9995492897621387,4.7400131480754574e-05,525000.0
logreg,1.0,0.9996406666666667,2.564717874886979e-05,0.9999996364883057,4.043422717070396e-08,0.9996411598660616,2.5601203128363733e-05,700000.0
