run_id,model,dataset,feature_map,n_samples,n_train,n_val,n_test,test_accuracy,test_loss,best_val_accuracy,tn,fp,fn,tp,epochs,batch_size,lr,h1,h2,dropout
1201_111646,MLP,PUF-Implementation/ArbiterPUF/arbiter_crp.csv,phi,1000,700,150,150,0.9333333333333333,0.1268564909696579,0.96,63,3,7,77,30,512,0.001,256,128,0.2
1201_112126,MLP,PUF-Implementation/InterposePUF/interpose_crp.csv,phi,1000,700,150,150,0.5133333333333333,0.9489650726318359,0.5866666666666667,39,39,34,38,30,512,0.001,256,128,0.2
1201_112503,MLP,PUF-Implementation/MajorityVoteArbiterPUF/mva-crps/10^3_mva_crp.csv,phi,1000,700,150,150,0.9533333333333334,0.12632636725902557,0.94,64,0,7,79,30,512,0.001,256,128,0.2
1201_112506,MLP,PUF-Implementation/MajorityVoteArbiterPUF/mva-crps/10^4_mva_crp.csv,phi,10000,7000,1500,1500,0.97,0.07837452739477158,0.9713333333333334,755,29,16,700,30,512,0.001,256,128,0.2
1201_112510,MLP,PUF-Implementation/MajorityVoteArbiterPUF/mva-crps/10^5_mva_crp.csv,phi,100000,70000,15000,15000,0.9886666666666667,0.031304997267822425,0.9912,7309,92,78,7521,30,512,0.001,256,128,0.2
1201_112536,MLP,PUF-Implementation/MajorityVoteArbiterPUF/mva-crps/10^6_mva_crp.csv,phi,1000000,700000,150000,150000,0.9955333333333334,0.010271453624332972,0.9958066666666666,74682,322,348,74648,30,512,0.001,256,128,0.2
1201_112842,MLP,PUF-Implementation/MajorityVoteArbiterPUF/mva-crps/5x10^4_mva_crp.csv,phi,50000,35000,7500,7500,0.9845333333333334,0.042163234949111936,0.9858666666666667,3628,60,56,3756,30,512,0.001,256,128,0.2
1201_112857,MLP,PUF-Implementation/MajorityVoteArbiterPUF/mva-crps/5x10^5_mva_crp.csv,phi,500000,350000,75000,75000,0.9945333333333334,0.013382919306936516,0.9950933333333334,37030,242,168,37560,30,512,0.001,256,128,0.2
1201_113031,MLP,PUF-Implementation/MajorityVoteInterposePUF/mvi-crps/10^3_mvi_crp.csv,phi,1000,700,150,150,0.5133333333333333,0.8769859075546265,0.5933333333333334,31,39,34,46,30,512,0.001,256,128,0.2
1201_113033,MLP,PUF-Implementation/MajorityVoteInterposePUF/mvi-crps/10^4_mvi_crp.csv,phi,10000,7000,1500,1500,0.5033333333333333,0.8847180604934692,0.5313333333333333,336,383,362,419,30,512,0.001,256,128,0.2
1201_113038,MLP,PUF-Implementation/MajorityVoteInterposePUF/mvi-crps/10^5_mvi_crp.csv,phi,100000,70000,15000,15000,0.5003333333333333,0.7445432504018148,0.5076,4577,2805,4690,2928,30,512,0.001,256,128,0.2
1201_113105,MLP,PUF-Implementation/MajorityVoteInterposePUF/mvi-crps/10^6_mvi_crp.csv,phi,1000000,700000,150000,150000,0.5029333333333333,0.6964492291313796,0.5068866666666667,13983,60178,14382,61457,30,512,0.001,256,128,0.2
1201_113413,MLP,PUF-Implementation/MajorityVoteInterposePUF/mvi-crps/5x10^4_mvi_crp.csv,phi,50000,35000,7500,7500,0.5021333333333333,0.7847017168998718,0.5125333333333333,1880,1815,1919,1886,30,512,0.001,256,128,0.2
1201_113427,MLP,PUF-Implementation/MajorityVoteInterposePUF/mvi-crps/5x10^5_mvi_crp.csv,phi,500000,350000,75000,75000,0.49824,0.7032937561573626,0.5033333333333333,21797,15282,22350,15571,30,512,0.001,256,128,0.2
